Field,Field Name,Module,Field Type,Field Size,Description,Parent,Child,Field Reference,Parent Value,Parent Inverse,Parent_Child_Rules,2010 Reference,2010 Field,2010 FieldName,2010 Module,2010 Description,Comment
625,NLRA_S5_RT3_L4_ES_SGL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 5, Room Type 3, Length of Stay 4, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,NLRA_S5_RT3_L4_ES_SGL,,"Client Negotiated non-LRA rate for Season 5, Room Type 3, Length of Stay 4, Single occupancy (per night) - this is the rate being offered to this client)",NEW
626,NLRA_S5_RT3_L4_ES_DBL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 5, Room Type 3, Length of Stay 4, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,NLRA_S5_RT3_L4_ES_DBL,,"Client Negotiated non-LRA rate for Season 5, Room Type 3, Length of Stay 4, Double occupancy (per night) - this is the rate being offered to this client)",NEW
627,ADDTL_CHARGE_R1_ES,ES,Number,"(20,2)",Charge (if any) for each additional person over 2 persons for Room Type 1,,,,,,,,702,ADDTL_CHARGE_R1_ES,ES,Charge (if any) for each additional person over 2 persons for Room Type 1,NO CHANGE
628,ADDTL_CHARGE_R2_ES,ES,Number,"(20,2)",Charge (if any) for each additional person over 2 persons for Room Type 2,,,,,,,,703,ADDTL_CHARGE_R2_ES,ES,Charge (if any) for each additional person over 2 persons for Room Type 2,NO CHANGE
629,ADDTL_CHARGE_R3_ES,ES,Number,"(20,2)",Charge (if any) for each additional person over 2 persons for Room Type 3,,,,,,,,NEW,,,,NEW
630,LOS_OCC_ES,ES,Text,10,What is the Length of Stay required for occupancy tax exemption?   (Not applicable to non-US hotels) ,,,,,,,,704,LOS_OCC_ES,ES,What is the Length of Stay required for occupancy tax exemption?   (Not applicable to non-US hotels) ,NO CHANGE
631,RATE_NOTES_ES,ES,Text,300,Notes regarding the quoted rate(s).,,,,,,,,705,RATE_NOTES_ES,ES,Notes regarding the quoted rate(s).,NO CHANGE
632,ADDL_SVC_ES,ES,Text,300,Additional Services/Amenities/Facilities on property.  Example:  BBQ,,,,,,,,706,ADDL_SVC_ES,ES,Additional Services/Amenities/Facilities on property.  Example:  BBQ,NO CHANGE
633,GROUPUNITOFMEAS,GM,Text,2,"What is the unit of measure that applies to all size related questions? (ex: sm=square meter, sf=square feet)  ",,,,,,,,715,,GM,Unit of measure for size related questions use SM for square meters or SF for square feet.  This question only needs to be answered once and will apply to all other questions in this module where SM or SF apply. ,AMENDED
634,MTGSPACE,GM,Number,"(10,0)",What is the  size of the hotel's meeting space?,,,,,,,,716,,GM,Size of hotel's total meeting space ,AMENDED
635,MTGROOMS,GM,Number,"(10,0)",What is the total number of meeting rooms?,,,,,,,,717,,GM,Total number of meeting rooms,AMENDED
636,LGST_MTGRM,GM,Number,"(10,0)",What is the size of the hotel's largest ballroom or meeting room?,,,,,,,,718,,GM,Size of hotel's largest ballroom or meeting room,AMENDED
637,BOARDROOM,GM,Y/N,1,Does the hotel have a permanent boardroom setup? (Y or N),,,,,,,,722,,GM,Does hotel have a permanent boardroom set up? (Y or N),AMENDED
638,MTG_TAX_AMT,GM,Number,"(10,3)","Tax on day delegate Rate (If not applicable, enter 0)",Y,,"P639, 640",,,,,NEW,,,NEW,NEW
639,MTG_TAX_UOM,GM,Text,1,"Tax on day delegate rate:  Percent or fixed amount? (P or F) (If this tax doesn't apply/exist, the answer should be ""N"").",,Y,638,0,,"If Field 638 = 0, enter N",,NEW,,,,NEW
640,MTG_TAX_INCL,GM,Y/N,1,Is the tax included in the day delegate rate? (Y or N),,Y,638,0,,"If Field 638 = 0, enter N",,NEW,,,NEW,NEW
641,MTG_SERVICE_AMT,GM,Number,"(10,3)","Service charge on day delegate rate (If not applicable, enter 0)",Y,,"P642, 643",,,,,NEW,,,NEW,NEW
642,MTG_SERVICE_UOM,GM,Text,1,"Service charge on day delegate rate:  Percent or fixed amount? (P or F) (If this tax doesn't apply/exist, the answer should be ""N"").",,Y,641,0,,"If Field 641 = 0, enter N",,NEW,,,,NEW
643,MTG_SERVICE_INCL,GM,Y/N,1,Is the service charge included in the day delegate rate? (Y or N),,Y,641,0,,"If Field 641 = 0, enter N",,NEW,,,NEW,NEW
644,BREAKOUT_10,GM,Number,"(22,2)",What is the maximum cost for a 10 person breakout room?,,,,,,,,NEW,,,NEW,NEW
645,BREAKOUT_25,GM,Number,"(22,2)",What is the maximum cost for a 25 person breakout room? ,,,,,,,,NEW,,,NEW,NEW
646,GROUP_S1_10-50,GM,Number,"(20,2)","What is the ROH group/meeting negotiated rate for season 1, for 10-50 rooms per night?",,,,,,,,NEW,,,NEW,NEW
647,GROUP_S1_51-100,GM,Number,"(20,2)","What is the ROH group/meeting negotiated rate for season 1, for 51-100 rooms per night?",,,,,,,,NEW,,,NEW,NEW
648,GROUP_S2_10-50,GM,Number,"(20,2)","What is the ROH group/meeting negotiated rate for season 2, for 10-50 rooms per night?",,,,,,,,NEW,,,NEW,NEW
649,GROUP_S2_51-100,GM,Number,"(20,2)","What is the ROH group/meeting negotiated rate for season 2, for 51-100 rooms per night?",,,,,,,,NEW,,,NEW,NEW
650,GROUP_S3_10-50,GM,Number,"(20,2)","What is the ROH group/meeting negotiated rate for season 3, for 10-50 rooms per night?",,,,,,,,NEW,,,NEW,NEW
651,GROUP_S3_51-100,GM,Number,"(20,2)","What is the ROH group/meeting negotiated rate for season 3, for 51-100 rooms per night?",,,,,,,,NEW,,,NEW,NEW
652,GROUP_S4_10-50,GM,Number,"(20,2)","What is the ROH group/meeting negotiated rate for season 4, for 10-50 rooms per night?",,,,,,,,NEW,,,NEW,NEW
653,GROUP_S4_51-100,GM,Number,"(20,2)","What is the ROH group/meeting negotiated rate for season 4, for 51-100 rooms per night?",,,,,,,,NEW,,,NEW,NEW
654,GROUP_S5_10-50,GM,Number,"(20,2)","What is the ROH group/meeting negotiated rate for season 5, for 10-50 rooms per night",,,,,,,,NEW,,,NEW,NEW
655,GROUP_S5_51-100,GM,Number,"(20,2)","What is the ROH group/meeting negotiated rate for season 5, for 51-150 rooms per night",,,,,,,,NEW,,,NEW,NEW
656,MTGPKG_FULL_10-50,GM,Number,"(20,2)",What is the price per person for a 10-50 full day delegate rate?,,,,,,,,NEW,,,NEW,NEW
657,MTGPKG_HALF_10-50,GM,Number,"(20,2)",What is the price per person for a 10-50 half day delegate rate?,,,,,,,,NEW,,,NEW,NEW
658,MTGPKG_FULL_51-100,GM,Number,"(20,2)",What is the price per person for a 51-100 full day delegate rate?,,,,,,,,NEW,,,NEW,NEW
659,MTGPKG_HALF_51-100,GM,Number,"(20,2)",What is the price per person for a 51-100 half day delegate rate?,,,,,,,,NEW,,,NEW,NEW
660,PARK_COMP_MTG,GM,Y/N,1,Will the hotel offer complimentary parking for meeting attendees that are not overnight guests? (Y or N),,,,,,,,758,,CM,Will hotel offer complimentary parking for meeting attendees that are Not overnight guests?  (Y or N),AMENDED
661,AV_SUPPLIER,GM,Text,100,What company supplies and supports the in house audio visual for groups & meetings?,,,,,,,,NEW,,,NEW,NEW
662,LCD_COST,GM,Number,"(20,2)",What is the cost per day for an LCD?,,,,,,,,NEW,,,NEW,NEW
663,LCD_INCL,GM,Y/N,1,Is the LCD cost per day included in the day delegate rate? (Y or N),,,,,,,,NEW,,,NEW,NEW
664,SCREEN_COST,GM,Number,"(20,2)",What is the cost for a standard screen per day?,,,,,,,,NEW,,,NEW,NEW
665,SCREEN_INCL,GM,Y/N,1,Is the standard screen cost per day included in the day delegate rate? (Y or N),,,,,,,,NEW,,,NEW,NEW
666,HSIA_COST_MTG,GM,Number,"(22,2)",What is  the cost for high speed internet in the general session meeting room ?,,,,,,,,NEW,,,NEW,NEW
667,HSIA_INCL_MTG,GM,Y/N,1,Is the cost for high speed internet in the general session meeting room included in the day delegate rate? (Y or N),,,,,,,,NEW,,,NEW,NEW
668,MTG_UserDefined1,GM,Text,100,Meetings Module User Defined Question 1,,,,,,,,764,MTG_UserDefined1,CM,Meetings Module User Defined Question 1,NO CHANGE
669,MTG_UserDefined2,GM,Text,100,Meetings Module User Defined Question 2,,,,,,,,765,MTG_UserDefined2,CM,Meetings Module User Defined Question 2,NO CHANGE
670,MTG_UserDefined3,GM,Text,100,Meetings Module User Defined Question 3,,,,,,,,766,MTG_UserDefined3,CM,Meetings Module User Defined Question 3,NO CHANGE
671,MTG_UserDefined4,GM,Text,100,Meetings Module User Defined Question 4,,,,,,,,767,MTG_UserDefined4,CM,Meetings Module User Defined Question 4,NO CHANGE
672,MTG_UserDefined5,GM,Text,100,Meetings Module User Defined Question 5,,,,,,,,768,MTG_UserDefined5,CM,Meetings Module User Defined Question 5,NO CHANGE
673,MTG_UserDefined6,GM,Text,100,Meetings Module User Defined Question 6,,,,,,,,769,MTG_UserDefined6,CM,Meetings Module User Defined Question 6,NO CHANGE
674,MTG_UserDefined7,GM,Text,100,Meetings Module User Defined Question 7,,,,,,,,770,MTG_UserDefined7,CM,Meetings Module User Defined Question 7,NO CHANGE
675,MTG_UserDefined8,GM,Text,100,Meetings Module User Defined Question 8,,,,,,,,771,MTG_UserDefined8,CM,Meetings Module User Defined Question 8,NO CHANGE
676,MTG_UserDefined9,GM,Text,100,Meetings Module User Defined Question 9,,,,,,,,772,MTG_UserDefined9,CM,Meetings Module User Defined Question 9,NO CHANGE
677,MTG_UserDefined10,GM,Text,100,Meetings Module User Defined Question 10,,,,,,,,773,MTG_UserDefined10,CM,Meetings Module User Defined Question 10,NO CHANGE
678,MTG_UserDefined11,GM,Text,100,Meetings Module User Defined Question 11,,,,,,,,774,MTG_UserDefined11,CM,Meetings Module User Defined Question 11,NO CHANGE
679,MTG_UserDefined12,GM,Text,100,Meetings Module User Defined Question 12,,,,,,,,775,MTG_UserDefined12,CM,Meetings Module User Defined Question 12,NO CHANGE
680,MTG_UserDefined13,GM,Text,100,Meetings Module User Defined Question 13,,,,,,,,776,MTG_UserDefined13,CM,Meetings Module User Defined Question 13,NO CHANGE
681,MTG_UserDefined14,GM,Text,100,Meetings Module User Defined Question 14,,,,,,,,777,MTG_UserDefined14,CM,Meetings Module User Defined Question 14,NO CHANGE
682,MTG_UserDefined15,GM,Text,100,Meetings Module User Defined Question 15,,,,,,,,778,MTG_UserDefined15,CM,Meetings Module User Defined Question 15,NO CHANGE
683,MTG_UserDefined16,GM,Text,100,Meetings Module User Defined Question 16,,,,,,,,779,MTG_UserDefined16,CM,Meetings Module User Defined Question 16,NO CHANGE
684,MTG_UserDefined17,GM,Text,100,Meetings Module User Defined Question 17,,,,,,,,780,MTG_UserDefined17,CM,Meetings Module User Defined Question 17,NO CHANGE
685,MTG_UserDefined18,GM,Text,100,Meetings Module User Defined Question 18,,,,,,,,781,MTG_UserDefined18,CM,Meetings Module User Defined Question 18,NO CHANGE
686,MTG_UserDefined19,GM,Text,100,Meetings Module User Defined Question 19,,,,,,,,782,MTG_UserDefined19,CM,Meetings Module User Defined Question 19,NO CHANGE
687,MTG_UserDefined20,GM,Text,100,Meetings Module User Defined Question 20,,,,,,,,783,MTG_UserDefined20,CM,Meetings Module User Defined Question 20,NO CHANGE
688,MTG_UserDefined21,GM,Text,100,Meetings Module User Defined Question 21,,,,,,,,784,MTG_UserDefined21,CM,Meetings Module User Defined Question 21,NO CHANGE
689,MTG_UserDefined22,GM,Text,100,Meetings Module User Defined Question 22,,,,,,,,785,MTG_UserDefined22,CM,Meetings Module User Defined Question 22,NO CHANGE
690,MTG_UserDefined23,GM,Text,100,Meetings Module User Defined Question 23,,,,,,,,786,MTG_UserDefined23,CM,Meetings Module User Defined Question 23,NO CHANGE
691,MTG_UserDefined24,GM,Text,100,Meetings Module User Defined Question 24,,,,,,,,787,MTG_UserDefined24,CM,Meetings Module User Defined Question 24,NO CHANGE
692,MTG_UserDefined25,GM,Text,100,Meetings Module User Defined Question 25,,,,,,,,788,MTG_UserDefined25,CM,Meetings Module User Defined Question 25,NO CHANGE
693,MTG_UserDefined26,GM,Text,100,Meetings Module User Defined Question 26,,,,,,,,789,MTG_UserDefined26,CM,Meetings Module User Defined Question 26,NO CHANGE
694,MTG_UserDefined27,GM,Text,100,Meetings Module User Defined Question 27,,,,,,,,790,MTG_UserDefined27,CM,Meetings Module User Defined Question 27,NO CHANGE
695,MTG_UserDefined28,GM,Text,100,Meetings Module User Defined Question 28,,,,,,,,791,MTG_UserDefined28,CM,Meetings Module User Defined Question 28,NO CHANGE
696,MTG_UserDefined29,GM,Text,100,Meetings Module User Defined Question 29,,,,,,,,792,MTG_UserDefined29,CM,Meetings Module User Defined Question 29,NO CHANGE
697,MTG_UserDefined30,GM,Text,100,Meetings Module User Defined Question 30,,,,,,,,793,MTG_UserDefined30,CM,Meetings Module User Defined Question 30,NO CHANGE
698,CSR_CERTIFIED,CSR,Y/N,1,"Is the hotel certified by a globally recognized ""sustainable"" certification program? (Y or N)",Y,,"P699, 700",,,,,NEW,Hotel_Certified,,,NEW
699,CSR_CERTIFIED_BY,CSR,Text,100," If yes, please name all sustainable certification programs you participate in.  Examples: Global Sustainable Tourism Council-recognized programs or LEED programs.",,Y,698,Y,NO,"If Field 698 = Y, enter a response",,NEW,Hotel_Certified_By,,,NEW
700,CSR_CERTIFIED_AUDIT,CSR,Y/N,1,Does your sustainable certification  include a third party audit? (Y or N),,Y,698,Y,NO,"If Field 698 = Y, enter Y or N",,NEW,Hotel_Certified_Audit,,,NEW
701,MEAS_CARBON,CSR,Y/N,1,Does the hotel measure carbon per  room-night? (Y or N),Y,,"P 702, 703, 704",,,,,NEW,Measure_Carbon_PRN,,,NEW
702,MEAS_CARBON_AMT,CSR,Number,"(6, 2)","If yes, what is the carbon per room-night measurement?  Example: 25.15 kg CO2e per room-night or 55.41 lbs CO2e per room-night.  (If not measured, enter 0)",,Y,701,"Y, N",NO,"If Field 701 = Y, enter a number > 0. If Field 701 = N, enter 0",,NEW,Measure_Carbon_ Measurement,,,NEW
703,MEAS_CARBON_UOM,CSR,Text,3,"What is the unit of measure for the carbon per room night measurement?  (kgs or lbs) (If not measured, enter NA)",,Y,701,"Y, N",NO,"If Field 701 = Y, enter kgs or lbs. If Field 701 = N, enter NA",,NEW,Measure_Carbon_UOM,,,NEW
704,MEAS_CARBON_PD,CSR,Number,"(2,0)","What period (in months) does the Carbon measurement cover? Example:  6 months/12 months/24 months. (If not measured, enter 0)",,Y,701,"Y, N",NO,"If Field 701 = Y, enter a number > 0. If Field 701 = N, enter 0",,NEW,Measure_Carbon_ Period,,,NEW
705,MEAS_WATER_PRN,CSR,Y/N,1,Does the hotel measure water per room-night? (Y or N),Y,,"P 706, 707, 708",,,,,NEW,Measure_Water_PRN,,,NEW
706,MEAS_WATER_AMT,CSR,Number,"(5, 2)","If yes, what is the water per room-night measurement ? Example: 365.60 Liters per room-night or 96.59 gallons per room-night. (If not measured, enter 0)",,Y,705,"Y, N",NO,"If Field 705 = Y, enter a number > 0. If Field 705 = N, enter 0",,NEW,Measure_Water_PRN_Measurement,,,NEW
707,MEAS_WATER_UOM,CSR,Text,7,"What is the unit of measure for water per room night?( Liters or gallons) (If not measured, enter NA)",,Y,705,"Y, N",NO,"If Field 705 = Y, enter liters or gallons. If Field 705 = N, enter NA",,NEW,Measure_Water_PRN_UOM,,,NEW
708,MEAS_WATER_PD,CSR,Number,"(2,0)","What period (in months) does the water per room night measurement cover?  Example: 6 months/12 months/24 months. (If not measured, enter 0)",,Y,705,"Y, N",NO,"If Field 705 = Y, enter a number > 0. If Field 705 = N, enter 0",,NEW,Measure_Water_ Period,,,NEW
709,MEAS_ENERGY,CSR,Y/N,1,"Does the hotel measure energy intensity? (Y or N)(Energy Intensity is defined as the property’s energy use from electricity, heating fuel, purchased steam, and chilled water and hot water, divided by the total gross conditioned floor area of the building)",Y,,"P 710, 711, 712",,,,,NEW,Measure_Energy_Intesity,,,NEW
710,"MEAS_ENERGY_AMT
",CSR,Number,"(6,2)","If yes, what is the energy intensity measurement?  Example: 191.1 kBtu per square foot or 2233.2 MJ per square meter. (If not measured, enter 0)",,Y,709,"Y, N",NO,"If Field 709 = Y, enter a number > 0. If Field 709 = N, enter 0",,NEW,Measure_Energy_Intensity_Measurement,,,NEW
711,"MEAS_ENERGY_UOM
",CSR,Text,21,"What is the unit of measure for energy intensity?  (BTU per Square Foot or MJ per Square Meter)  (If not measured, enter NA)",,Y,709,"Y, N",NO,"If Field 709 = Y, enter BTU per Square Foot or MJ per Square Meter. If Field 709 = N, enter NA",,NEW,Measure_Energy_Intensity_UOM,,,NEW
712,MEAS_ENERGY_PD,CSR,Number,"(2,0)","What period does the energy intensity measurement cover?  Example: 6 months/12 months/24 months. (If not measured, enter 0)",,Y,709,"Y, N",NO,"If Field 709 = Y, enter a number > 0. If Field 709 = N, enter 0",,NEW,Measure_Energy_Intesity_Measurement_Period,,,NEW
713,MEAS_WASTE,CSR,Y/N,1,Does the hotel measure waste diversion rate? (Y or N),Y,,"P 714, 715",,,,,NEW,Measure_Waste_Diversion,,,NEW
714,MEAS_WASTE_PCT,CSR,Number,"(4,2)","If yes, what is the waste diversion rate percentage? (If not measured, enter 0)",,Y,713,"Y, N",NO,"If Field 713 = Y, enter a number > 0. If Field 713 = N, enter 0",,NEW,Measure_Waste_Diversion_Rate,,,NEW
715,MEAS_WASTE_PD,CSR,Number,"(2,0)","What period does the diversion rate measurement cover?  Example: 6 months/12 months/24 months. (If not measured, enter 0).",,Y,713,"Y, N",NO,"If Field 713 = Y, enter a number > 0. If Field 713 = N, enter 0",,NEW,Measure_Waste_Diversion_Rate_Period,,,NEW
716,ENVIRO_CSR,CSR,Y/N,1,Does the hotel have its own environmental or Corporate Social Responsibility program? (Y or N),Y,,P 717,,,,,NEW,Environmental_CSR_Program,,,NEW
717,ENVIRO_CSR_PROGRAM,CSR,Text,100,"If yes, please explain.",,Y,716,Y,NO,"If Field 716 = Y, enter a text response here",,NEW,Environmental_CSR_Program_Which,,,NEW
